Episode,Date,Artist,Song,Ref.
885,May 26,Twice,"""Signal""","11,362",
886,June 2,Seventeen,"""Don't Wanna Cry""","9,627",
887,June 9,Twice,"""Signal""","6,430",
888,June 16,Twice,"""Signal""","6,501",
889,June 23,Hwang Chi-yeul,"""A Daily Song""","6,380",
890,June 30,G-Dragon,"""Untitled, 2014""","7,458",
891,July 7,Mamamoo,"""Yes I Am""","7,641",
892,July 14,Heize,"""You, Clouds, Rain""","7,174",
893,July 21,Red Velvet,"""Red Flavor""","9,383",
894,July 28,Exo,"""Ko Ko Bop""","12,181",
895,August 4,Exo,"""Ko Ko Bop""","12,103",
—,August 11,GFriend,"""Love Whisper""","7,486",
—,August 18,Wanna One,"""Energetic""","10,823",
896,August 25,Wanna One,"""Energetic""","11014",
897,September 1,Yoon Jong-shin,"""Like It""","7,420",
898,September 8,Yoon Jong-shin,"""Like It""","6,707",
899,September 15,Exo,"""Power""","9,914",
900,September 22,Exo,"""Power""","6,929",
901,September 29,BTS,"""DNA""","12,581",
—,October 6,BTS,"""DNA""","8,876",
902,October 13,BTS,"""DNA""","9,851",
903,October 20,NU'EST W,"""Where You At""","7,153",
904,October 27,BtoB,"""Missing You""","7,526",
905,November 3,Epik High,"""Love Story""","5,562",
906,November 10,Twice,"""Likey""","9,231",
907,November 17,Seventeen,"""Clap""","6,265",
908,November 24,Wanna One,"""Beautiful""","10,828",
909,December 1,Wanna One,"""Beautiful""","6,676",
910,December 8,Minseo,"""Yes""","4,873",
911,December 15,Naul,"""Emptiness In Memory""","5,241",
912,December 22,Twice,"""Heart Shaker""","6,880",
—,December 29,Twice,"""Heart Shaker""","5,592",
913,January 5,Exo,"""Universe""","10,371",
914,January 12,Exo,"""Universe""","6,324",
915,January 19,Infinite,"""Tell Me""","5,393",
916,January 26,JBJ,"""My Flower""","5,531",
917,February 2,Jonghyun,"""Shinin'""","5,560",
—,February 9,Red Velvet,"""Bad Boy""","5,962",
—,February 16,Seventeen,"""Thanks""","7,540",
918,February 23,Momoland,"""Bboom Bboom""","7,633",
919,March 2,iKon,"""Love Scenario""","6,056",
920,March 9,Kim Sung-kyu,"""True Love""","5,831",
—,March 16,Mamamoo,"""Starry Night""","6,015",
921,March 23,Got7,"""Look""","9,927",
922,March 30,Wanna One,"""Boomerang""","10,298",
923,April 6,Wanna One,"""Boomerang""","7,103",
924,April 13,Wanna One,"""Boomerang""","6,151",
925,April 20,Twice,"""What Is Love?""","9,335",
926,April 27,Twice,"""What Is Love?""","8,367",
927,May 4,Hwang Chi-yeul,"""Star, You (The Only Star)""","6,552",
928,May 11,GFriend,"""Time for the Moon Night""","8,690",
929,May 18,GFriend,"""Time for the Moon Night""","6,154",
930,May 25,BTS,"""Fake Love""","10,493",
931,June 1,BTS,"""Fake Love""","15,019",
932,June 8,BTS,"""Fake Love""","10,647",
933,June 15,Wanna One,"""Light""","11,260",
934,June 22,Wanna One,"""Light""","7,528",
935,June 29,Blackpink,"""Ddu-Du Ddu-Du""","10,095",
936,July 6,NU'EST W,"""Dejavu""","10,151",
937,July 13,Apink,"""I'm So Sick""","5,930",
938,July 20,Twice,"""Dance the Night Away""","11,347",
939,July 27,Seventeen,"""Oh My!""","11,345",
940,August 3,Twice,"""Dance the Night Away""","5,338",
941,August 10,Shaun,"""Way Back Home""","4,729",
942,August 17,Red Velvet,"""Power Up""","8,882",
943,August 24,Red Velvet,"""Power Up""","6,536",
944,August 31,BTS,"""Idol""","9,567",
945,September 7,BTS,"""Idol""","11,949",
946,September 14,BTS,"""Idol""","5,275",
947,September 21,Sunmi,"""Siren""","5,433",
948,September 28,Got7,"""Lullaby""","9,751",
949,October 5,Got7,"""Lullaby""","5,323",
950,October 12,iKon,"""Goodbye Road""","5,239",
951,October 19,IU,"""Bbibbi""","4,338",
952,October 26,NCT 127,"""Regular""","6,585",
953,November 2,Monsta X,"""Shoot Out""","7,067",
954,November 9,Exo,"""Tempo""","8,561",
955,November 16,Exo,"""Tempo""","9,417",
956,November 23,BtoB,"""Beautiful Pain""","6,680",
957,November 30,Wanna One,"""Spring Breeze""","11,509",
958,December 7,NU'EST W,"""Help Me""","6,686",
959,December 14,Got7,"""Miracle""","4,679",
960,December 21,Exo,"""Love Shot""","7,267",
—,December 28,Exo,"""Love Shot""","7,742",
961,January 4,Exo,"""Tempo""","9,055",
962,January 11,Winner,"""Millions""","3,382",
963,January 18,Chungha,"""Gotta Go""","4,824",
964,January 25,GFriend,"""Sunrise""","5,600",
965,February 1,Seventeen,"""Home""","9,466",
966,February 8,Seventeen,"""Home""","4,017",
967,February 15,Seventeen,"""Home""","5,249",
968,February 22,Taemin,"""Want""","7,141",
969,March 1,Monsta X,"""Alligator""","6,922",
970,March 8,Itzy,"""Dalla Dalla""","5,104",
971,March 15,Itzy,"""Dalla Dalla""","4,405",
972,March 22,Epik High,"""Love Drunk""","4,397",
973,March 29,Mamamoo,"""Gogobebe""","4,691",
974,April 5,Park Ji-hoon,"""L.O.V.E""","6,030",
975,April 12,Iz*One,"""Violeta""","7,238",
976,April 19,BTS,"""Boy with Luv""","11,231",
977,April 26,BTS,"""Boy with Luv""","13,007",
978,May 3,BTS,"""Boy with Luv""","7,397",
979,May 10,NU'EST,"""Bet Bet""","8,586",
980,May 17,BTS,"""Boy with Luv""","6,092",
981,May 24,BTS,"""Boy with Luv""","7,662",
982,May 31,Got7,"""Eclipse""","5,101",
—,June 7,NCT 127,"""Superhuman""","4,458",
983,June 14,BTS,"""Boy with Luv""","4,591",
984,June 21,BTS,"""Boy with Luv""","4,427",
985,June 28,Red Velvet,"""Zimzalabim""","4,868",
986,July 5,Chungha,"""Snapping""","5,592",
987,July 12,GFriend,"""Fever""","5,014",
988,July 19,Baekhyun,"""UN Village""","8,401",
989,July 26,Baekhyun,"""UN Village""","6,266",
990,August 2,Exo-SC,"""What a Life""","7,164",
991,August 9,Kang Daniel,"""What Are You Up To""","8,177",
992,August 16,Itzy,"""Icy""","4,440",
993,August 23,Itzy,"""Icy""","4,094",
994,August 30,Red Velvet,"""Umpah Umpah""","4,898",
995,September 6,X1,"""Flash""","9,021",
—,September 13,X1,"""Flash""","6,407",
996,September 20,Bolbbalgan4,"""Workaholic""","3,539",
997,September 27,Seventeen,"""Fear""","11,565",
998,October 4,Twice,"""Feel Special""","8,821",
999,October 11,Chen,"""Shall We?""","7,161",
"1000",October 18,AKMU,"""How Can I Love the Heartbreak, You're the One I Love""","5,190",
"1001",October 25,Super Junior,"""Super Clap""","8,514",
"1002",November 1,NU'EST,"""Love Me""","6,660",
"1003",November 8,Taeyeon,"""Spark""","6,104",
"1004",November 15,Got7,"""You Calling My Name""","5,937",
"1005",November 22,Mamamoo,"""Hip""","5,163",
"1006",November 29,IU,"""Love Poem""","8,329",
"1007",December 6,Exo,"""Obsession""","8,970",
"1008",December 13,Exo,"""Obsession""","5,716",
"1009",December 20,IU,"""Blueming""","4,527",
—,December 27,IU,"""Blueming""","4,116",
"1010",January 3,Red Velvet,"""Psycho""","7,465",
"1011",January 10,Red Velvet,"""Psycho""","6,649",
"1012",January 17,SF9,"""Good Guy""","5,185",
—,January 24,Red Velvet,"""Psycho""","4,594",
"1013",January 31,Zico,"""Any Song""","5,469",
"1014",February 7,Zico,"""Any Song""","4,490",
"1015",February 14,GFriend,"""Crossroads""","4,888",
"1016",February 21,Zico,"""Any Song""","4,006",
"1017",February 28,BTS,"""On""","9,785",
"1018",March 6,BTS,"""On""","11,957",
"1019",March 13,BTS,"""On""","9,188",
"1020",March 20,BTS,"""On""","5,696",
"1021",March 27,NCT 127,"""Kick It""","6,915",
"1022",April 3,Kang Daniel,"""2U""","6,826",
"1023",April 10,Suho,"""Let's Love""","8,177",
"1024",April 17,(G)I-dle,"""Oh My God""","5,831",
"1025",April 24,Apink,"""Dumhdurum""","5,600",
"1026",May 1,Got7,"""Not By The Moon""","7,308",
"1027",May 8,NCT Dream,"""Ridin'""","9,123",
"1028",May 15,Oh My Girl,"""Nonstop""","5,922",
"1029",May 22,NU'EST,"""I'm in Trouble""","9,167",
"1030",May 29,NCT 127,"""Punch""","5,474",
"1031",June 5,Baekhyun,"""Candy""","8,236",
"1032",June 12,Twice,"""More & More""","9,408",
"1033",June 19,Twice,"""More & More""","4,791",
"1034",June 26,Iz*One,"""Secret Story of the Swan""","7,890",
"1035",July 3,Seventeen,"""Left & Right""","11,579",
"1036",July 10,Blackpink,"""How You Like That""","4,981",
"1037",July 17,Red Velvet – Irene & Seulgi,"""Monster""","6,467",
"1038",July 24,Exo-SC,"""1 Billion Views""","6,431",
"1039",July 31,Blackpink,"""How You Like That""","6,146",
"1040",August 7,Hwasa,"""María""","3,889",
—,August 14,Kang Daniel,"""Who U Are""","6,248",
"1041",August 21,Hwasa,"""María""","3,498",
"1042",August 28,Itzy,"""Not Shy""","6,843",
"1043",September 4,BTS,"""Dynamite""","6,569",
"1044",September 11,BTS,"""Dynamite""","7,454",
"1045",September 18,BTS,"""Dynamite""","6,963",
"1046",September 25,BTS,"""Dynamite""","7,099",
—,October 2,BTS,"""Dynamite""","6,341",
"1047",October 9,BTS,"""Dynamite""","6,532",
"1048",October 16,Blackpink,"""Lovesick Girls""","11,562",
"1049",October 23,NCT U,"""Make A Wish (Birthday Song)""","7,876",
"1050",October 30,Seventeen,"""Home;Run""","10,171",
"1051",November 6,Twice,"""I Can't Stop Me""","5,420",
"1052",November 13,BTS,"""Dynamite""","4,371",
"1053",November 20,BTS,"""Dynamite""","4,505",
"1054",November 27,BTS,"""Dynamite""","11,636",
"1055",December 4,BTS,"""Dynamite""","10,014",
"1056",December 11,BTS,"""Dynamite""","4,250",
—,December 18,Iz*One,"""Panorama""","8,074",
—,December 25,BTS,"""Dynamite""","3,570",
—,January 1,BTS,"""Dynamite""","3,904",
"1057",January 8,BTS,"""Dynamite""","4,447",
"1058",January 15,NCT U,"""90's Love""","4,620",
"1059",January 22,(G)I-dle,"""Hwaa""","5,846",
"1060",January 29,U-Know Yunho,"""Thank U""","5,063",
"1061",February 5,IU,"""Celebrity""","4,558",
—,February 12,IU,"""Celebrity""","6,394",
"1062",February 19,Kim Woo Seok,"""Sugar""","5,851",
"1063",February 26,BTS,"""Dynamite""","9,812",
"1064",March 5,BTS,"""Dynamite""","4,990",
"1065",March 12,IU,"""Celebrity""","4,456",
"1066",March 19,Brave Girls,"""Rollin'""","5,379",
"1067",March 26,Rosé,"""On the Ground""","6,897",
"1068",April 2,IU,"""Celebrity""","8,140",
"1069",April 9,Baekhyun,"""Bambi""","8,009",
"1070",April 16,IU,"""Lilac""","5,763",
"1071",April 23,Kang Daniel,"""Antidote""","6,156",
"1072",April 30,NU'EST,"""Inside Out""","5,446",
"1073",May 7,Enhypen,"""Drunk-Dazed""","6,275",
"1074",May 14,Itzy,"""In the Morning""","6,156",
—,May 21,NCT Dream,"""Hot Sauce""","10,607",
"1075",May 28,NCT Dream,"""Hot Sauce""","9,083",
"1076",June 4,BTS,"""Butter""","6,326",
"1077",June 11,TXT,"""0X1=Lovesong (I Know I Love You)""","6,970",
"1078",June 18,Exo,"""Don't Fight the Feeling""","6,720",
"1079",June 25,Seventeen,"""Ready to Love""","7,640",
"1080",July 2,Seventeen,"""Ready to Love""","8,202",
"1081",July 9,NCT Dream,"""Hello Future""","8,184",
"1082",July 16,BTS,"""Butter""","11051",
"1083",July 23,BTS,"""Permission to Dance""","11,145",
—,July 30,BTS,"""Permission to Dance""","10,437",
—,August 6,D.O.,"""Rose""","6,546",
"1084",August 13,Astro,"""After Midnight""","4,988",
"1085",August 20,The Boyz,"""Thrill Ride""","7,810",
"1086",August 27,Red Velvet,"""Queendom""","5,982",
"1087",September 3,Stray Kids,"""Thunderous""","6,686",
"1088",September 10,Lee Mu-jin,"""Traffic Light""","3,631",
"1089",September 17,Lisa,"""Lalisa""","5,068",
"1090",September 24,NCT 127,"""Sticker""","4,784",
"1091",October 1,NCT 127,"""Sticker""","7,930",
"1092",October 8,Itzy,"""Loco""","6,033",
"1093",October 15,Aespa,"""Savage""","7,958",
"1094",October 22,Enhypen,"""Tamed-Dashed""","8,967",
"1095",October 29,Seventeen,"""Rock With You""","7,387",
"1096",November 5,Seventeen,"""Rock With You""","9,084",
"1097",November 12,The Boyz,"""Maverick""","5,302",
"1098",November 19,Twice,"""Scientist""","4,133",
"1099",November 26,Monsta X,"""Rush Hour""","4,057",
"1100",December 3,SF9,"""Trauma""","4,971",
"1101",December 10,Stray Kids,"""Christmas EveL""","4,620",
—,December 17,Ive,"""Eleven""","4,445",
—,December 24,NCT U,"""Universe (Let's Play Ball)""","7,584",
—,December 31,NCT U,"""Universe (Let's Play Ball)""","6,611",
"1102",January 7,NCT U,"""Universe""","5,930",
"1103",January 14,Kep1er,"""Wa Da Da""","3,678",
"1104",January 21,Enhypen,"""Blessed-Cursed""","8,377",
"1105",January 28,IU,"""Winter Sleep""","2,949",
"1106",February 4,Pentagon,"""Feelin' Like""","3,426",
—,February 11,Ive,"""Eleven""","3,058",
—,February 18,Ive,"""Eleven""","2,566",
"1107",February 25,Treasure,"""Jikjin""","4,520",
"1108",March 4,STAYC,"""Run2U""","6,821",
"1109",March 11,STAYC,"""Run2U""","4,719",
"1110",March 18,Kim Woo Seok,"""Switch""","6,016",
"1111",March 25,Stray Kids,"""Maniac""","10,596",
"1112",April 1,Red Velvet,"""Feel My Rhythm""","8,416",
"1113",April 8,NCT Dream,"""Giltch Mode""","10,718",
"1114",April 15,Ive,"""Love Dive""","12,095",
"1115",April 22,Ive,"""Love Dive""","7,324",
"1116",April 29,Ive,"""Love Dive""","6,959",
"1117",May 6,Monsta X,"""Love""","8,499",
"1118",May 13,Le Sserafim,"""Fearless""","7,881",
"1119",May 20,TXT,"""Good Boy Gone Bad""","12,610",
"1120",May 27,Astro,"""Candy Sugar Pop""","6,561",
"1121",June 3,Seventeen,"""Hot""","13,816",
"1122",June 10,NCT Dream,"""Beatbox""","11069",
"1123",June 17,BTS,"""Yet to Come""","6,692",
"1124",June 24,BTS,"""Yet to Come""","5,573",
"1125",July 1,Kep1er,"""Up!""","7,268",
"1126",July 8,Fromis 9,"""Stay This Way""","8,378",
"1127",July 15,Enhypen,"""Future Perfect (Pass the MIC)""","8,577",
"1128",July 22,Itzy,"""Sneakers""","10,427",
"1129",July 29,Seventeen,"""_World""","10,353",
"1130",August 5,Ateez,"""Guerrilla""","8,474",
"1131",August 12,Ateez,"""Guerrilla""","6,169",
"1132",August 19,NewJeans,"""Attention""","11150",
"1133",August 26,The Boyz,"""Whisper""","11097",
"1134",September 2,Ive,"""After Like""","12,174",
—,September 9,Ive,"""After Like""","11,406",
"1135",September 16,Oneus,"""Same Scent""","8,115",
"1136",September 23,Ive,"""After Like""","7,502",
"1137",September 30,NCT 127,"""2 Baddies""","9,309",
"1138",October 7,Ive,"""After Like""","6,966",
"1139",October 14,Stray Kids,"""Case 143""","11168",
"1140",October 21,Stray Kids,"""Case 143""","8,113",
"1141",October 28,(G)I-dle,"""Nxde""","12,541",
—,November 4,Le Sserafim,"""Antifragile""","8,786",
—,November 11,Le Sserafim,"""Antifragile""","6,137",
"1142",November 18,Highlight,"""Alone""","7,618",
